failed_login_count,unique_source_ips,request_count,connection_count,bytes_transferred,destination_count,login_success_after_failures,event_frequency_per_min,unusual_time_indicator,privileged_command_flag,high_risk_port_flag,internal_to_external_flag,attack_type
1,1,14,3,3104.041529736407,2,0.0,4.127119755207346,0,0.0,0.0,0.0,Normal
0,1,56,37,17298558.31254892,1,0.0,30.964338590669772,1,0.0,0.0,1.0,Data Exfiltration
1,1,2,8,2138.655992487893,3,0.0,3.3591794540088546,0,0.0,0.0,0.0,Normal
2,3,20,22,499011.2226926591,9,0.0,40.88678154453016,1,1.0,1.0,0.0,Lateral Movement
22,3,38,51,2665.0227055292717,1,1.0,34.27027273740452,0,0.0,0.0,0.0,Brute Force
0,1,3,8,4135.004522759346,2,0.0,4.099971754786284,0,0.0,0.0,0.0,Normal
0,1,6,4,6672.037855946278,1,0.0,2.7493216593952305,0,0.0,0.0,0.0,Normal
0,1,10,7,8587.801321649653,1,0.0,2.6037678410931346,0,0.0,0.0,0.0,Normal
0,1,12,4,5212.770485730158,3,0.0,1.0021660276861204,0,0.0,0.0,0.0,Normal
0,2,5,7,7335.261787641199,3,0.0,1.377551363410451,0,0.0,0.0,0.0,Normal
0,1,53,12,116177070.71237278,4,0.0,23.76457874314385,1,1.0,1.0,1.0,Data Exfiltration
0,5,32,39,71591.96862494916,7,1.0,15.581379058498179,1,0.0,0.0,0.0,Lateral Movement
0,1,9,1,113.10229420709636,2,0.0,1.9323743499773154,0,0.0,0.0,0.0,Normal
0,1,1,5,10043.69610731746,2,0.0,4.5777009619649425,0,0.0,0.0,0.0,Normal
4,5,58,23,88631.42238802466,9,0.0,53.57357220732815,1,0.0,0.0,0.0,Lateral Movement
0,1,28,16,136269156.59877723,1,1.0,42.4086435166684,1,0.0,0.0,1.0,Data Exfiltration
0,1,7,7,2503.9166234212435,1,0.0,6.221546829921734,0,0.0,0.0,0.0,Normal
1,1,1,9,6058.990613805445,3,0.0,8.607592972181166,1,0.0,0.0,0.0,Normal
0,1,5,5,9324.284979416061,1,0.0,1.4462647347160202,0,0.0,0.0,0.0,Normal
0,1,8,1,3428.907901446152,2,0.0,5.881545678415595,0,0.0,0.0,0.0,Normal
0,1,9,4,2651.3654163413275,1,0.0,3.174618445861459,0,0.0,0.0,0.0,Normal
0,1,5,1,5059.477017748607,3,0.0,7.900052368025386,0,0.0,0.0,0.0,Normal
0,1,51,19,57191055.99584506,2,0.0,33.6658478689798,1,1.0,1.0,1.0,Data Exfiltration
0,1,12,8,8836.167748239393,3,0.0,9.199589763464836,0,0.0,0.0,0.0,Normal
0,1,13,7,9913.506870392459,1,0.0,7.883536573924771,0,0.0,0.0,0.0,Normal
0,1,6,7,14005.782940414634,2,0.0,9.731480180716773,0,0.0,0.0,0.0,Normal
1,3,25,35,442841.75476016576,5,0.0,49.68384019401129,0,1.0,0.0,0.0,Lateral Movement
1,1,20,11,7016.295622489435,2,1.0,19.004816589413146,1,1.0,1.0,1.0,Privilege Escalation
0,1,11,1,630.066289086402,2,0.0,3.920543025580086,0,0.0,0.0,0.0,Normal
0,1,5,4,7493.753205441987,1,0.0,9.69751059458356,0,0.0,0.0,0.0,Normal
0,1,4,4,11631.626188543767,1,0.0,8.741083972576721,0,0.0,0.0,0.0,Normal
0,2,5,4,1870.700488038114,3,0.0,8.30891555395499,1,0.0,0.0,0.0,Normal
5,3,66,28,452355.2426091577,5,0.0,34.72767643395039,0,0.0,1.0,0.0,Lateral Movement
0,1,7,4,12360.464617669291,3,0.0,6.590210056047539,0,0.0,0.0,0.0,Normal
0,1,10,6,6093.5049766917855,2,0.0,6.699944191285747,0,0.0,0.0,0.0,Normal
0,1,5,5,12130.446375784793,3,0.0,2.4758917476298343,0,0.0,0.0,1.0,Normal
0,1,4,8,1148.7747586250134,1,0.0,9.118023395229113,0,0.0,0.0,0.0,Normal
0,1,13,3,7641.563790628731,1,0.0,2.037333061234331,1,0.0,0.0,0.0,Normal
0,1,11,5,13130.695043572554,2,0.0,1.9182690517734133,0,0.0,0.0,0.0,Normal
1,2,48,27,199922.79727924883,4,1.0,26.506733813284534,1,1.0,1.0,0.0,Lateral Movement
1,2,4,6,6132.518577016804,3,0.0,9.559973638743514,1,0.0,0.0,0.0,Normal
0,1,4,9,44.35537657980929,2,0.0,9.47283035351745,0,0.0,0.0,0.0,Normal
27,1,98,51,1285.303508911445,1,0.0,57.94304098055504,0,0.0,1.0,0.0,Brute Force
0,1,2,1,1580.839784674601,2,0.0,6.762346496958043,0,0.0,0.0,1.0,Normal
4,1,13,11,11685.94970322654,2,1.0,27.455389842373624,1,1.0,0.0,1.0,Privilege Escalation
1,1,48,23,69932314.8196849,1,0.0,12.662734576043203,0,0.0,0.0,1.0,Data Exfiltration
0,1,6,4,537.7499371413031,2,0.0,2.6408199123427556,0,0.0,0.0,0.0,Normal
0,1,3,8,9122.586723356491,2,0.0,5.1875071481080655,0,0.0,0.0,0.0,Normal
0,1,8,9,4584.617571862702,2,0.0,8.57445608492654,0,0.0,0.0,0.0,Normal
26,2,44,39,3632.6550072911937,1,1.0,36.145738535377816,1,0.0,0.0,0.0,Brute Force
0,1,14,9,5485.960891508126,3,0.0,4.474279441235973,0,0.0,0.0,0.0,Normal
3,5,27,45,210263.6326923332,5,0.0,44.03595566440761,1,0.0,1.0,0.0,Lateral Movement
0,1,2,4,1699.2656289408778,2,0.0,5.464873957663606,0,0.0,0.0,0.0,Normal
0,1,10,9,10726.859814757181,3,0.0,5.510896762372224,0,0.0,0.0,0.0,Normal
1,1,2,1,5744.5564691120935,2,0.0,3.464385573575987,0,0.0,0.0,0.0,Normal
0,1,8,3,23016.16780687379,3,0.0,8.442951489145003,0,0.0,0.0,0.0,Normal
0,2,2,9,497.3637173245359,3,0.0,8.004391703144009,0,0.0,0.0,0.0,Normal
0,1,11,7,953.1439126611664,2,0.0,9.768697559691685,0,0.0,0.0,0.0,Normal
1,1,10,14,2296.966590980016,2,0.0,16.201152866728826,1,1.0,0.0,1.0,Privilege Escalation
1,5,47,46,484648.5561728707,10,0.0,21.7051213031594,1,0.0,0.0,0.0,Lateral Movement
0,1,8,8,13925.647829132478,2,0.0,29.686701815756617,1,1.0,0.0,0.0,Privilege Escalation
0,1,7,2,429.6534226319232,2,0.0,6.564599390719046,0,0.0,0.0,0.0,Normal
0,1,13,1,1321.0308913053386,3,0.0,9.283969328352569,0,0.0,0.0,0.0,Normal
0,2,10,12,17131.92311676821,1,1.0,26.146735932993042,1,1.0,0.0,0.0,Privilege Escalation
0,1,11,5,155.22662468597548,1,0.0,5.848301674822471,0,0.0,0.0,0.0,Normal
0,1,2,7,2743.434617945953,3,0.0,7.2402635365723915,0,0.0,0.0,0.0,Normal
0,5,49,37,144500.7727204664,4,1.0,36.59682856853446,1,0.0,0.0,0.0,Lateral Movement
1,1,3,8,3038.189222159271,3,0.0,1.433820178412531,0,0.0,0.0,0.0,Normal
0,1,11,5,379.32489873168265,1,0.0,9.764562384776932,1,0.0,0.0,0.0,Normal
0,1,9,9,3362.6812260759975,2,0.0,7.150247153860265,1,0.0,0.0,0.0,Normal
0,1,4,5,5045.556286966145,1,0.0,9.40369778405032,0,0.0,0.0,0.0,Normal
1,1,23,11,9787.294128363423,1,1.0,18.889998117977093,0,1.0,1.0,0.0,Privilege Escalation
1,1,11,5,11125.281258339044,2,1.0,16.67193265106141,0,1.0,1.0,0.0,Privilege Escalation
0,1,12,2,1430.5253517889378,2,0.0,2.3287236767223733,0,0.0,0.0,0.0,Normal
0,1,1,8,836.2760834746324,2,0.0,5.9704097720524105,0,0.0,0.0,0.0,Normal
1,1,10,10,7523.770922248652,1,1.0,6.663444022407843,0,1.0,0.0,0.0,Privilege Escalation
1,1,57,31,23568274.6170968,2,1.0,35.83601099766423,1,1.0,1.0,1.0,Data Exfiltration
0,1,6,1,11070.380483094046,2,0.0,4.327181044633779,0,1.0,0.0,0.0,Normal
0,1,2,4,12247.86726869947,3,0.0,4.472926607736698,0,0.0,0.0,0.0,Normal
0,1,6,5,1478.4701047702204,1,0.0,7.325620364591643,0,0.0,0.0,0.0,Normal
37,1,79,43,3278.8274048680328,1,1.0,65.21685023847618,1,0.0,0.0,0.0,Brute Force
0,2,8,1,3335.5171812426333,1,0.0,5.903217804483792,0,0.0,0.0,0.0,Normal
1,1,9,1,1500.2950056780076,1,0.0,8.43277078938087,0,0.0,0.0,0.0,Normal
0,1,1,8,296.47806112632185,1,0.0,9.394590433783256,0,0.0,0.0,1.0,Normal
2,1,48,35,118853947.66273056,4,0.0,11.02669930965197,1,0.0,1.0,1.0,Data Exfiltration
0,1,8,4,7244.108628049561,3,0.0,1.4635026951892027,0,0.0,0.0,0.0,Normal
1,2,44,14,78037806.86527707,1,1.0,13.437761069137185,1,1.0,1.0,1.0,Data Exfiltration
0,1,13,2,1235.7740781180298,3,0.0,6.881879320358806,0,0.0,0.0,0.0,Normal
0,1,14,6,632.7567954579503,1,0.0,3.371692982353588,0,0.0,0.0,0.0,Normal
48,1,50,12,1876.457801806462,1,1.0,55.050093791696426,1,0.0,0.0,0.0,Brute Force
0,1,2,9,6091.783286618733,2,0.0,6.694936670771848,0,0.0,0.0,0.0,Normal
0,1,7,9,4782.651910907617,2,0.0,7.356599326351066,0,0.0,0.0,1.0,Normal
